,secID,ticker,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000001.XSHE,1,XSHE,2015/1/5,15.84,15.84,15.99,16.28,15.6,16.02,286043643,4565387846,92478,0.0291,0.65085721,1.58E+11,1.83E+11,0.0114,9.2428,9.2428,1.3977,1,15.96
1,000001.XSHE,1,XSHE,2015/1/6,16.02,16.02,15.85,16.39,15.55,15.78,216642140,3453446168,80325,0.022,0.65085721,1.55E+11,1.80E+11,-0.015,9.1044,9.1044,1.3768,1,15.941
2,000001.XSHE,1,XSHE,2015/1/7,15.78,15.78,15.56,15.83,15.3,15.48,170012067,2634796409,72697,0.0173,0.65085721,1.52E+11,1.77E+11,-0.019,8.9313,8.9313,1.3506,1,15.498
3,000001.XSHE,1,XSHE,2015/1/8,15.48,15.48,15.5,15.57,14.9,14.96,140771421,2128003432,68734,0.0143,0.65085721,1.47E+11,1.71E+11,-0.0336,8.6313,8.6313,1.3052,1,15.117
4,000001.XSHE,1,XSHE,2015/1/9,14.96,14.96,14.9,15.87,14.71,15.08,250850023,3835378100,99882,0.0255,0.65085721,1.48E+11,1.72E+11,0.008,8.7005,8.7005,1.3157,1,15.29
5,000001.XSHE,1,XSHE,2015/1/12,15.08,15.08,14.87,15.05,14.5,14.77,155329088,2293104640,64376,0.0158,0.65085721,1.45E+11,1.69E+11,-0.0206,8.5216,8.5216,1.2886,1,14.763
6,000001.XSHE,1,XSHE,2015/1/13,14.77,14.77,14.65,14.9,14.61,14.68,81687477,1204987149,34924,0.0083,0.65085721,1.44E+11,1.68E+11,-0.0061,8.4697,8.4697,1.2808,1,14.751
7,000001.XSHE,1,XSHE,2015/1/14,14.68,14.68,14.78,15.2,14.7,14.81,126302964,1889296679,50675,0.0128,0.65085721,1.46E+11,1.69E+11,0.0089,8.5447,8.5447,1.2921,1,14.958
8,000001.XSHE,1,XSHE,2015/1/15,14.81,14.81,14.85,15.35,14.71,15.35,124217032,1868795910,54470,0.0126,0.65085721,1.51E+11,1.75E+11,0.0365,8.8563,8.8563,1.3392,1,15.045
9,000001.XSHE,1,XSHE,2015/1/16,15.35,15.35,15.4,15.62,15.18,15.37,155584633,2403346195,60637,0.0158,0.65085721,1.51E+11,1.76E+11,0.0013,8.8678,8.8678,1.341,1,15.447
10,000001.XSHE,1,XSHE,2015/1/19,15.37,15.37,14.01,14.57,13.83,13.83,213712366,3016203087,103111,0.0217,0.65085721,1.36E+11,1.58E+11,-0.1002,7.9793,7.9793,1.2066,1,14.113
11,000001.XSHE,1,XSHE,2015/1/20,13.83,13.83,13.83,14.06,13.56,13.83,149101811,2064280555,65826,0.0152,0.65085721,1.36E+11,1.58E+11,0,7.9793,7.9793,1.2066,1,13.845
